Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM)
2022-05-31 14:53:47,1800,1.000,1661,55
2022-05-31 14:53:47,1800,1.000,1661,55
2022-05-31 15:49:00,1800,1.000,1208,40
2022-05-31 16:38:43,1800,1.000,1211,40
2022-05-31 17:28:24,1800,1.000,1216,41
2022-05-31 18:18:07,1800,1.000,1129,38
2022-05-31 19:07:47,1800,1.000,1176,39
2022-05-31 19:57:27,1800,1.000,1178,39
2022-05-31 20:47:06,1800,1.000,1132,38
2022-05-31 21:36:50,1800,1.000,1131,38
2022-05-31 22:26:33,1800,1.000,1153,38
2022-05-31 23:16:14,1800,1.000,1116,37
2022-06-01 00:05:57,1800,1.000,1115,37
2022-06-01 00:55:39,1800,1.000,1099,37
2022-06-01 01:45:22,1800,1.000,1058,35
2022-06-01 02:35:07,1800,1.000,1077,36
2022-06-01 03:24:52,1800,1.000,1055,35
2022-06-01 04:14:37,1800,1.000,1158,39
2022-06-01 05:04:19,1800,1.000,1026,34
2022-06-01 05:54:00,1800,1.000,1072,36
2022-06-01 06:43:39,1800,1.000,1061,35
2022-06-01 07:33:19,1800,1.000,1061,35
