Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM),Normalized ¹⁸F (Bq),,
2021-10-20 12:46,60,1.000,40,40,50,1,,
2021-10-20 12:46,60,1.000,40,40,50,1,,
2021-10-20 13:02,60,1.000,38,38,53,1,,
2021-10-20 13:02,60,1.000,38,38,53,1,,
2021-10-20 13:14,60,1.000,42,42,63,1,,
2021-10-20 13:14,60,1.000,42,42,63,1,,
2021-10-20 13:26,60,1.000,41,41,66,1,,
2021-10-20 13:26,60,1.000,41,41,66,1,,
2021-10-20 13:39,60,1.000,37,37,65,1,,
2021-10-20 13:39,60,1.000,37,37,65,1,,
2021-10-20 13:53,60,1.000,41,41,79,1,,
2021-10-20 13:53,60,1.000,41,41,79,1,,
2021-10-20 14:27,60,1.000,36,36,85,1,,
2021-10-20 14:27,60,1.000,36,36,85,1,,
2021-10-20 14:41,60,1.000,30,30,78,1,,
2021-10-20 14:41,60,1.000,30,30,78,1,,
2021-10-20 14:56,60,1.000,48,48,137,2,,
2021-10-20 14:56,60,1.000,48,48,137,2,,
2021-10-20 15:18,60,1.000,37,37,121,2,,
2021-10-20 15:18,60,1.000,37,37,121,2,,
2021-10-20 15:34,60,1.000,49,49,177,3,,
2021-10-20 15:34,60,1.000,49,49,177,3,,
2021-10-20 15:53,60,1.000,38,38,155,3,,
2021-10-20 15:53,60,1.000,38,38,155,3,,
2021-10-20 16:17,60,1.000,49,49,233,4,,
2021-10-20 16:17,60,1.000,49,49,233,4,,
2021-10-20 16:28,60,1.000,56,56,285,5,,
2021-10-20 16:28,60,1.000,56,56,285,5,,
2021-10-20 16:42,60,1.000,45,45,249,4,,
2021-10-20 16:42,60,1.000,45,45,249,4,,
2021-10-20 16:52,60,1.000,40,40,238,4,,
2021-10-20 16:52,60,1.000,40,40,238,4,,
2021-10-20 17:17,60,1.000,45,45,311,5,,
2021-10-20 17:17,60,1.000,45,45,311,5,,
2021-10-20 17:27,60,1.000,27,27,200,3,,
2021-10-20 17:27,60,1.000,27,27,200,3,,
2021-10-20 17:38,60,1.000,44,44,349,6,,
2021-10-20 17:38,60,1.000,44,44,349,6,,
2021-10-20 17:49,60,1.000,44,44,374,6,,
2021-10-20 17:49,60,1.000,44,44,374,6,,
2021-10-20 18:00,60,1.000,45,45,409,7,,
2021-10-20 18:00,60,1.000,45,45,409,7,,
2021-10-20 18:11,60,1.000,42,42,409,7,,
2021-10-20 18:11,60,1.000,42,42,409,7,,
2021-10-20 18:22,60,1.000,43,43,448,7,,
2021-10-20 18:22,60,1.000,43,43,448,7,,
2021-10-20 18:32,60,1.000,35,35,391,7,,
2021-10-20 18:32,60,1.000,35,35,391,7,,
2021-10-20 18:43,60,1.000,43,43,514,9,,
2021-10-20 18:43,60,1.000,43,43,514,9,,
2021-10-20 18:54,60,1.000,34,34,435,7,,
2021-10-20 18:54,60,1.000,34,34,435,7,,
2021-10-20 19:05,60,1.000,26,26,358,6,,
2021-10-20 19:05,60,1.000,26,26,358,6,,
2021-10-20 19:16,60,1.000,48,48,707,12,,
2021-10-20 19:16,60,1.000,48,48,707,12,,
2021-10-20 19:27,60,1.000,37,37,584,10,,
2021-10-20 19:27,60,1.000,37,37,584,10,,
2021-10-20 19:35,60,1.000,34,34,562,9,,
2021-10-20 19:35,60,1.000,34,34,562,9,,
2021-10-20 19:42,60,1.000,38,38,658,11,,
2021-10-20 19:42,60,1.000,38,38,658,11,,
2021-10-20 19:50,60,1.000,38,38,691,12,,
2021-10-20 19:50,60,1.000,38,38,691,12,,
2021-10-20 19:57,60,1.000,48,48,914,15,,
2021-10-20 19:57,60,1.000,48,48,914,15,,
2021-10-20 20:05,60,1.000,40,40,800,13,,
2021-10-20 20:05,60,1.000,40,40,800,13,,
2021-10-20 20:13,60,1.000,42,42,883,15,,
2021-10-20 20:13,60,1.000,42,42,883,15,,
2021-10-20 20:22,60,1.000,35,35,779,13,,
2021-10-20 20:22,60,1.000,35,35,779,13,,
2021-10-20 20:29,60,1.000,36,36,838,14,,
2021-10-20 20:29,60,1.000,36,36,838,14,,
2021-10-20 20:36,60,1.000,43,43,"1,051",18,,
2021-10-20 20:36,60,1.000,43,43,"1,051",18,,
2021-10-20 20:44,60,1.000,34,34,869,14,,
2021-10-20 20:44,60,1.000,34,34,869,14,,
