Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM),
11.6232,11.5086,0.1146,2021-10-20 12:40,150,1.012,"135,828","54,981","66,295",
8.2713,8.1631,0.1082,2021-10-20 12:43,150,1.012,"135,832","55,002","67,777",
11.7254,11.5086,0.2168,2021-10-20 12:58,60,1.011,"48,641","49,154","66,361",
8.3689,8.1631,0.2058,2021-10-20 13:00,60,1.011,"48,811","49,332","67,419",
11.8216,11.5086,0.3130,2021-10-20 13:10,60,1.010,"44,304","44,745","65,175",
8.4699,8.1631,0.3068,2021-10-20 13:12,60,1.010,"45,347","45,812","67,554",
11.9198,11.5086,0.4112,2021-10-20 13:22,60,1.009,"41,562","41,935","66,050",
8.5678,8.1631,0.4047,2021-10-20 13:24,60,1.009,"41,399","41,774","66,611",
12.0442,11.5086,0.5356,2021-10-20 13:35,60,1.009,"38,232","38,567","65,842",
,8.1631,,2021-10-20 13:37,60,1.008,"38,305","38,625","66,684",
12.1602,11.5086,0.6516,2021-10-20 13:49,60,1.008,"35,363","35,644","66,270",
8.7841,8.1631,0.6210,2021-10-20 13:51,60,1.008,"35,105","35,377","66,884",
12.2578,11.5086,0.7492,2021-10-20 14:02,60,1.007,"32,320","32,554","65,912",
8.8662,8.1631,0.7031,2021-10-20 14:04,60,1.007,"32,269","32,502","66,629",
12.3739,11.5086,0.8653,2021-10-20 14:36,60,1.006,"26,083","26,230","65,859",
8.9896,8.1631,0.8265,2021-10-20 14:39,60,1.006,"25,946","26,092","66,740",
12.4975,11.5086,0.9889,2021-10-20 14:51,60,1.005,"23,545","23,668","65,224",
,8.1631,,2021-10-20 14:54,60,1.005,"23,757","23,879","67,141",
12.6082,11.5086,1.0996,2021-10-20 15:09,60,1.005,"20,979","21,076","64,946",
9.3138,8.1631,1.1507,2021-10-20 15:16,60,1.005,"20,613","20,708","66,753",
12.6502,11.5086,1.1416,2021-10-20 15:28,60,1.004,"18,790","18,870","65,552",
9.3419,8.1631,1.1788,2021-10-20 15:32,60,1.004,"18,442","18,518","66,065",
12.8330,11.5086,1.3244,2021-10-20 15:46,60,1.004,"16,784","16,846","65,776",
9.4453,8.1631,1.2822,2021-10-20 15:51,60,1.004,"16,429","16,491","66,236",
12.9130,11.5086,1.4044,2021-10-20 16:05,60,1.003,"14,759","14,806","65,255",
9.6134,8.1631,1.4503,2021-10-20 16:15,60,1.003,"13,849","13,892","65,037",
13.0130,11.5086,,2021-10-20 16:24,60,1.003,"13,016","13,054","64,818",
9.7134,8.1631,,2021-10-20 16:26,60,1.003,"13,243","13,280","66,579",
13.1130,11.5086,,2021-10-20 16:37,60,1.003,"11,921","11,953","64,259",
9.8134,8.1631,,2021-10-20 16:38,60,1.003,"12,147","12,179","66,107",
13.2130,11.5086,,2021-10-20 16:49,60,1.002,"11,145","11,172","64,797",
9.9134,8.1631,,2021-10-20 16:50,60,1.003,"11,379","11,407","66,799",
13.3130,11.5086,,,,,,,,
10.0134,8.1631,,,,,,,,
13.4130,11.5086,,2021-10-20 17:13,60,1.002,"9,664","9,685","65,413",
10.1134,8.1631,,2021-10-20 17:14,60,1.002,"9,744","9,765","66,593",
13.5130,11.5086,,2021-10-20 17:24,60,1.002,"9,110","9,128","66,008",
10.2134,8.1631,,2021-10-20 17:25,60,1.002,"9,032","9,049","66,068",
13.6130,11.5086,,2021-10-20 17:34,60,1.002,"8,327","8,342","64,599",
10.3134,8.1631,,2021-10-20 17:36,60,1.002,"8,478","8,494","66,409",
13.7130,11.5086,,2021-10-20 17:45,60,1.002,"7,708","7,721","64,029",
10.4134,8.1631,,2021-10-20 17:47,60,1.002,"7,608","7,620","63,800",
13.8130,11.5086,,2021-10-20 17:56,60,1.002,"7,346","7,358","65,340",
10.5134,8.1631,,2021-10-20 17:58,60,1.002,"7,259","7,271","65,187",
13.9130,11.5086,,2021-10-20 18:07,60,1.002,"6,768","6,778","64,452",
10.6134,8.1631,,2021-10-20 18:09,60,1.001,"6,698","6,708","64,398",
14.0130,11.5086,,2021-10-20 18:18,60,1.001,"6,365","6,374","64,913",
10.7134,8.1631,,2021-10-20 18:19,60,1.001,"6,303","6,312","64,905",
14.1130,11.5086,,2021-10-20 18:29,60,1.001,"5,974","5,982","65,230",
10.8134,8.1631,,2021-10-20 18:30,60,1.001,"6,009","6,017","66,244",
14.2130,11.5086,,2021-10-20 18:39,60,1.001,"5,494","5,501","64,217",
10.9134,8.1631,,2021-10-20 18:41,60,1.001,"5,407","5,414","63,810",
14.3130,11.5086,,2021-10-20 18:50,60,1.001,"5,180","5,186","64,833",
11.0134,8.1631,,2021-10-20 18:52,60,1.001,"4,968","4,973","62,784",
14.4130,11.5086,,2021-10-20 19:02,60,1.001,"4,900","4,905","65,889",
11.1134,8.1631,,2021-10-20 19:03,60,1.001,"4,670","4,675","63,402",
14.5130,11.5086,,2021-10-20 19:13,60,1.001,"4,358","4,362","62,731",
11.2134,8.1631,,2021-10-20 19:14,60,1.001,"4,438","4,442","64,508",
14.6130,11.5086,,2021-10-20 19:23,60,1.001,"4,065","4,069","62,669",
11.3134,8.1631,,2021-10-20 19:25,60,1.001,"4,115","4,119","64,054",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
