Hidex tare (g),Hidex total mass (g),Hidex sample mass (g),Manual tare with holders (g),Manual tare no holders (g),Manual total (g),Manual sample mass (g),,,
5.9898,,,5.98957,3.34739,,,,,
6.0741,6.3820,0.3079,6.07414,3.39249,3.70013,0.30764,,,
5.8961,6.2996,0.4035,5.89538,3.37597,3.78011,0.40414,,,
6.0418,6.5423,0.5005,6.04151,3.36624,3.86685,0.50061,,,
5.8811,6.4819,0.6008,5.88078,3.34101,,,,,
6.0126,6.6028,0.5902,6.01242,3.36251,3.95302,0.59051,,,
5.8601,6.6535,0.7934,5.85989,3.30935,4.10279,0.79344,,,
5.9006,6.8017,0.9011,5.90045,3.34824,,,,,
6.0626,7.1054,1.0428,6.06229,3.40279,4.44573,1.04294,,,
6.0427,7.1925,1.1498,6.04252,3.3786,4.52852,1.14992,,,
5.8593,6.0672,0.2079,5.85906,3.32287,3.53063,0.20776,,,
6.0087,6.3039,0.2952,6.00809,3.38087,3.63436,0.25349,,,
5.8758,6.1735,0.2977,5.87529,3.3264,3.62437,0.29797,,,
6.0272,6.5303,0.5031,6.02605,3.36058,3.86416,0.50358,,,
6.0953,6.6959,0.6006,6.09458,3.41586,4.01683,0.60097,,,
5.8826,6.5829,0.7003,5.88229,3.34637,4.04642,0.70005,,,
5.8996,6.6962,0.7966,5.89915,3.39294,4.18976,0.79682,,,
6.0717,6.9624,0.8907,6.06942,3.39937,4.29192,0.89255,,,
5.9479,6.9408,0.9929,5.94745,3.39839,4.39145,0.99306,,,
5.9333,7.0278,1.0945,5.93293,3.38939,4.48402,1.09463,,,
